id,item,type,price
1,Pear,fruit,51.17
2,Fig,fruit,67.03
3,Raspberry,fruit,36.24
4,Banana,fruit,64.0
5,Grape,fruit,63.74
6,Grape,fruit,25.75
7,Blackberry,fruit,57.18
8,Dragonfruit,fruit,67.38
9,Cherry,fruit,78.29
10,Blueberry,fruit,99.82
11,Cantaloupe,fruit,90.08
12,Papaya,fruit,63.8
13,Cantaloupe,fruit,34.77
14,Kiwi,fruit,45.36
15,Pomegranate,fruit,7.97
16,Pineapple,fruit,4.47
17,Pear,fruit,88.42
18,Tangerine,fruit,59.8
19,Banana,fruit,8.96
20,Papaya,fruit,47.86
21,Watermelon,fruit,86.68
22,Pineapple,fruit,57.24
23,Banana,fruit,46.86
24,Blackberry,fruit,69.27
25,Papaya,fruit,30.47
26,Fig,fruit,90.52
27,Watermelon,fruit,67.01
28,Dragonfruit,fruit,49.3
29,Plum,fruit,51.67
30,Strawberry,fruit,79.67
31,Kiwi,fruit,43.36
32,Lychee,fruit,49.28
33,Pear,fruit,56.7
34,Pomegranate,fruit,92.66
35,Blackberry,fruit,50.48
36,Pomegranate,fruit,13.25
37,Pomegranate,fruit,76.47
38,Papaya,fruit,71.61
39,Orange,fruit,11.33
40,Orange,fruit,2.74
41,Apricot,fruit,76.81
42,Plum,fruit,92.37
43,Banana,fruit,0.16
44,Blueberry,fruit,40.5
45,Lychee,fruit,57.22
46,Papaya,fruit,43.25
47,Apple,fruit,99.98
48,Watermelon,fruit,65.62
49,Date,fruit,19.36
50,Lychee,fruit,22.07
51,Tangerine,fruit,6.88
52,Tangerine,fruit,3.55
53,Apricot,fruit,99.83
54,Cherry,fruit,76.42
55,Blueberry,fruit,29.64
56,Plum,fruit,78.34
57,Date,fruit,85.95
58,Papaya,fruit,76.87
59,Peach,fruit,10.49
60,Dragonfruit,fruit,61.27
61,Papaya,fruit,33.17
62,Apple,fruit,33.75
63,Lychee,fruit,96.04
64,Lychee,fruit,65.55
65,Pomegranate,fruit,63.42
66,Raspberry,fruit,31.73
67,Strawberry,fruit,80.56
68,Watermelon,fruit,87.35
69,Fig,fruit,85.38
70,Apple,fruit,22.12
71,Raspberry,fruit,95.35
72,Tangerine,fruit,6.11
73,Tangerine,fruit,27.67
74,Date,fruit,82.38
75,Pomegranate,fruit,73.16
76,Blueberry,fruit,56.77
77,Pineapple,fruit,54.94
78,Lemon,fruit,8.86
79,Lychee,fruit,5.89
80,Strawberry,fruit,37.96
81,Apricot,fruit,90.95
82,Banana,fruit,63.46
83,Apple,fruit,95.2
84,Date,fruit,18.71
85,Plum,fruit,42.15
86,Apricot,fruit,61.93
87,Pineapple,fruit,64.12
