id,item,type,origin,price,organic_or_inorganic
1,Cherry,fruit,imported,6.17,organic
2,Date,fruit,imported,29.1,inorganic
3,Blackberry,fruit,local,2.64,inorganic
4,Raspberry,fruit,imported,27.22,organic
5,Fig,fruit,imported,36.41,organic
6,Grape,fruit,imported,49.9,inorganic
7,Mango,fruit,local,72.06,inorganic
8,Strawberry,fruit,local,65.71,inorganic
9,Kiwi,fruit,imported,51.73,organic
10,Peach,fruit,local,40.6,organic
11,Banana,fruit,imported,1.75,organic
12,Blueberry,fruit,local,99.93,inorganic
13,Date,fruit,imported,10.87,inorganic
14,Mango,fruit,imported,88.62,inorganic
15,Cantaloupe,fruit,local,49.41,inorganic
16,Raspberry,fruit,local,29.22,inorganic
17,Cherry,fruit,local,74.76,inorganic
18,Papaya,fruit,imported,15.31,inorganic
19,Pomegranate,fruit,imported,74.81,organic
20,Raspberry,fruit,imported,55.45,inorganic
21,Dragonfruit,fruit,imported,19.92,inorganic
22,Dragonfruit,fruit,imported,76.59,inorganic
23,Grape,fruit,imported,73.9,organic
24,Lemon,fruit,imported,28.27,inorganic
25,Mango,fruit,local,42.1,organic
26,Kiwi,fruit,local,96.02,organic
27,Orange,fruit,imported,40.85,inorganic
28,Dragonfruit,fruit,local,51.83,inorganic
29,Cherry,fruit,local,73.0,inorganic
30,Apple,fruit,local,32.69,organic
31,Kiwi,fruit,local,37.09,inorganic
32,Dragonfruit,fruit,imported,24.42,inorganic
33,Pomegranate,fruit,imported,94.09,inorganic
34,Dragonfruit,fruit,local,54.64,inorganic
35,Papaya,fruit,local,10.11,inorganic
36,Papaya,fruit,imported,81.71,organic
37,Plum,fruit,imported,28.46,organic
38,Tangerine,fruit,local,59.75,inorganic
39,Pineapple,fruit,imported,19.27,inorganic
40,Orange,fruit,local,45.05,inorganic
41,Dragonfruit,fruit,imported,67.0,organic
42,Apple,fruit,local,8.89,inorganic
43,Blackberry,fruit,local,33.82,inorganic
44,Lemon,fruit,local,63.57,organic
45,Kiwi,fruit,local,86.16,organic
46,Pear,fruit,imported,34.66,inorganic
47,Papaya,fruit,local,88.79,organic
48,Plum,fruit,imported,56.39,inorganic
49,Strawberry,fruit,local,59.95,organic
50,Grape,fruit,local,92.89,inorganic
51,Blackberry,fruit,imported,10.94,inorganic
52,Dragonfruit,fruit,local,67.29,inorganic
53,Banana,fruit,local,7.28,inorganic
54,Mango,fruit,local,10.98,inorganic
55,Peach,fruit,imported,14.99,organic
56,Mango,fruit,local,76.04,organic
57,Cantaloupe,fruit,imported,47.31,organic
58,Banana,fruit,local,74.67,organic
59,Strawberry,fruit,local,66.33,inorganic
60,Blueberry,fruit,imported,52.2,inorganic
61,Grape,fruit,imported,74.05,organic
62,Lemon,fruit,imported,95.62,inorganic
63,Tangerine,fruit,local,35.96,organic
64,Plum,fruit,imported,19.12,organic
65,Pear,fruit,imported,3.24,organic
66,Banana,fruit,imported,11.58,inorganic
67,Peach,fruit,local,43.58,organic
68,Strawberry,fruit,imported,38.97,inorganic
69,Pineapple,fruit,local,93.33,organic
70,Watermelon,fruit,local,6.13,inorganic
71,Pear,fruit,local,95.02,organic
72,Papaya,fruit,imported,90.52,inorganic
73,Plum,fruit,local,19.26,organic
74,Tangerine,fruit,local,37.95,organic
75,Apricot,fruit,local,21.96,inorganic
76,Apricot,fruit,local,85.43,organic
77,Plum,fruit,local,15.5,inorganic
78,Cantaloupe,fruit,imported,87.16,organic
79,Banana,fruit,imported,93.71,organic
80,Plum,fruit,imported,59.2,inorganic
81,Pomegranate,fruit,local,48.05,inorganic
82,Fig,fruit,imported,0.99,inorganic
83,Grape,fruit,local,94.13,inorganic
84,Banana,fruit,local,95.05,inorganic
85,Cherry,fruit,local,87.86,inorganic
86,Mango,fruit,local,19.71,organic
87,Mango,fruit,local,83.43,inorganic
88,Grape,fruit,local,72.75,organic
89,Blueberry,fruit,local,26.59,inorganic
90,Mango,fruit,imported,66.88,organic
91,Date,fruit,local,12.52,organic
92,Strawberry,fruit,local,71.33,inorganic
93,Grape,fruit,local,10.89,organic
94,Dragonfruit,fruit,imported,98.15,organic
95,Grape,fruit,local,38.68,organic
96,Apricot,fruit,local,30.27,organic
97,Cherry,fruit,imported,86.52,inorganic
98,Apricot,fruit,imported,45.18,inorganic
99,Raspberry,fruit,local,20.2,organic
100,Dragonfruit,fruit,imported,40.15,inorganic
101,Mango,fruit,imported,21.95,organic
102,Grape,fruit,local,11.31,inorganic
103,Blueberry,fruit,imported,72.11,inorganic
104,Orange,fruit,imported,76.55,organic
105,Peach,fruit,local,89.01,organic
106,Cherry,fruit,imported,74.26,inorganic
107,Papaya,fruit,imported,44.27,inorganic
108,Raspberry,fruit,imported,88.9,inorganic
109,Raspberry,fruit,local,86.24,organic
110,Raspberry,fruit,local,48.57,inorganic
111,Papaya,fruit,local,23.99,inorganic
112,Date,fruit,local,67.36,inorganic
113,Orange,fruit,local,9.51,organic
114,Pomegranate,fruit,imported,14.5,inorganic
115,Strawberry,fruit,local,25.72,inorganic
116,Pear,fruit,local,98.04,organic
117,Date,fruit,local,2.07,organic
118,Blueberry,fruit,imported,16.49,organic
119,Apricot,fruit,imported,86.62,organic
120,Cherry,fruit,local,91.08,organic
121,Cantaloupe,fruit,local,89.71,organic
122,Dragonfruit,fruit,local,52.6,inorganic
123,Banana,fruit,imported,53.45,organic
124,Cherry,fruit,imported,17.05,organic
125,Lemon,fruit,imported,73.64,inorganic
126,Date,fruit,imported,93.13,organic
127,Pomegranate,fruit,imported,57.11,inorganic
128,Fig,fruit,local,10.3,inorganic
129,Dragonfruit,fruit,imported,55.46,inorganic
130,Papaya,fruit,imported,15.52,inorganic
131,Pear,fruit,local,26.97,organic
132,Cherry,fruit,local,55.72,inorganic
133,Dragonfruit,fruit,local,30.41,organic
134,Banana,fruit,imported,17.12,organic
135,Lemon,fruit,imported,58.72,organic
136,Tangerine,fruit,imported,42.69,inorganic
137,Grape,fruit,imported,18.9,organic
